timestamp,left_angle,right_angle,angle_diff,distance,distance_ratio,img_width,adaptive_threshold,is_departure
1750213187.8619056,,,,,,480,,0
1750213187.9044724,,,,,,480,,0
1750213187.9460487,,,,,,480,,0
1750213187.9876976,,,,,,480,,0
1750213188.0308132,,,,,,480,,0
1750213188.0776377,,,,,,480,,0
1750213188.1204536,,,,,,480,,0
1750213188.1615846,,,,,,480,,0
1750213188.20267,,,,,,480,,0
1750213188.2464757,,,,,,480,,0
1750213188.2881184,,,,,,480,,0
1750213188.3289034,,,,,,480,,0
1750213188.3723018,,,,,,480,,0
1750213188.4134202,,,,,,480,,0
1750213188.4554722,,,,,,480,,0
1750213188.4976747,,,,,,480,,0
1750213188.5394669,,,,,,480,,0
1750213188.582331,,,,,,480,,0
1750213188.624023,,,,,,480,,0
1750213188.6675856,,,,,,480,,0
1750213188.70856,,,,,,480,,0
1750213188.7514768,,,,,,480,,0
1750213188.794108,,,,,,480,,0
1750213188.8366313,,,,,,480,,0
1750213188.8789074,,,,,,480,,0
1750213188.9220655,,,,,,480,,0
1750213188.9643745,,,,,,480,,0
1750213189.0069966,,,,,,480,,0
1750213189.049265,,,,,,480,,0
1750213189.0921993,,,,,,480,,0
1750213189.135747,,,,,,480,,0
1750213189.1785135,,,,,,480,,0
1750213189.226005,,,,,,480,,0
1750213189.2690117,,,,,,480,,0
1750213189.3106837,,,,,,480,,0
1750213189.3542228,,,,,,480,,0
1750213189.39658,,,,,,480,,0
1750213189.4395769,,,,,,480,,0
1750213189.4810293,,,,,,480,,0
1750213189.5255628,,,,,,480,,0
1750213189.5674846,,,,,,480,,0
1750213189.6121783,,,,,,480,,0
1750213189.653465,,,,,,480,,0
1750213189.6966171,,,,,,480,,0
1750213189.7384286,,,,,,480,,0
1750213189.7814913,,,,,,480,,0
1750213189.8243685,,,,,,480,,0
1750213189.8682466,,,,,,480,,0
1750213189.9094348,,,,,,480,,0
1750213189.9522784,,,,,,480,,0
1750213189.9956312,,,,,,480,,0
1750213190.0389097,,,,,,480,,0
1750213190.0818763,,,,,,480,,0
1750213190.1244006,,,,,,480,,0
1750213190.1663897,,,,,,480,,0
1750213190.2095659,,,,,,480,,0
1750213190.2509093,,,,,,480,,0
1750213190.2939656,,,,,,480,,0
1750213190.3353755,,,,,,480,,0
1750213190.3783827,,,,,,480,,0
1750213190.420196,,,,,,480,,0
1750213190.4652498,,,,,,480,,0
1750213190.506773,,,,,,480,,0
1750213190.5507102,,,,,,480,,0
1750213190.5919824,,,,,,480,,0
1750213190.6345522,,,,,,480,,0
1750213190.6763682,,,,,,480,,0
1750213190.7191236,,,,,,480,,0
1750213190.7633038,,,,,,480,,0
1750213190.806327,,,,,,480,,0
1750213190.8478158,,,,,,480,,0
1750213190.891263,,,,,,480,,0
1750213190.9344442,,,,,,480,,0
1750213190.9779356,,,,,,480,,0
1750213191.0216358,,,,,,480,,0
1750213191.0641942,,,,,,480,,0
1750213191.1060612,,,,,,480,,0
1750213191.1495204,,,,,,480,,0
1750213191.1913066,,,,,,480,,0
1750213191.2383456,,,,,,480,,0
1750213191.2799664,,,,,,480,,0
1750213191.3240016,,,,,,480,,0
1750213191.365491,,,,,,480,,0
1750213191.4091706,,,,,,480,,0
1750213191.4507496,,,,,,480,,0
1750213191.494821,,,,,,480,,0
1750213191.5359383,,,,,,480,,0
1750213191.5787003,,,,,,480,,0
1750213191.6211646,,,,,,480,,0
1750213191.663886,,,,,,480,,0
1750213191.7058597,,,,,,480,,0
1750213191.7482817,,,,,,480,,0
1750213191.7894576,,,,,,480,,0
1750213191.8330972,,,,,,480,,0
1750213191.8747218,,,,,,480,,0
1750213191.919572,,,,,,480,,0
1750213191.9615042,,,,,,480,,0
1750213192.004858,,,,,,480,,0
1750213192.04678,,,,,,480,,0
1750213192.0902846,,,,,,480,,0
1750213192.134085,,,,,,480,,0
1750213192.177232,,,,,,480,,0
1750213192.2194026,,,,,,480,,0
1750213192.2684789,,,,,,480,,0
1750213192.3105986,,,,,,480,,0
1750213192.353983,,,,,,480,,0
1750213192.3962069,,,,,,480,,0
1750213192.4420395,,,,,,480,,0
1750213192.4837003,,,,,,480,,0
1750213192.527737,,,,,,480,,0
1750213192.5703661,,,,,,480,,0
1750213192.6136446,,,,,,480,,0
1750213192.6559484,,,,,,480,,0
1750213192.6998434,,,,,,480,,0
1750213192.7412977,,,,,,480,,0
1750213192.7839968,,,,,,480,,0
1750213192.826184,,,,,,480,,0
1750213192.869111,,,,,,480,,0
1750213192.9128482,,,,,,480,,0
1750213192.9558835,,,,,,480,,0
1750213192.9984844,,,,,,480,,0
1750213193.0411894,,,,,,480,,0
1750213193.082997,,,,,,480,,0
1750213193.127424,,,,,,480,,0
1750213193.1686397,,,,,,480,,0
1750213193.2120023,,,,,,480,,0
1750213193.2662244,,,,,,480,,0
1750213193.3089988,,,,,,480,,0
1750213193.3514333,,,,,,480,,0
1750213193.3953207,,,,,,480,,0
1750213193.4383855,,,,,,480,,0
1750213193.4809878,,,,,,480,,0
1750213193.522683,,,,,,480,,0
1750213193.5665755,,,,,,480,,0
1750213193.608005,,,,,,480,,0
1750213193.651908,,,,,,480,,0
1750213193.6952965,,,,,,480,,0
1750213193.738232,,,,,,480,,0
1750213193.7808025,,,,,,480,,0
1750213193.8249698,,,,,,480,,0
1750213193.8679812,,,,,,480,,0
1750213193.9125247,,,,,,480,,0
1750213193.9542005,,,,,,480,,0
1750213193.9979007,,,,,,480,,0
1750213194.0397635,,,,,,480,,0
1750213194.083418,,,,,,480,,0
1750213194.128147,,,,,,480,,0
1750213194.1724017,,,,,,480,,0
1750213194.2135808,,,,,,480,,0
1750213194.2566051,,,,,,480,,0
1750213194.2980375,,,,,,480,,0
1750213194.3393104,,,,,,480,,0
1750213194.3820121,,,,,,480,,0
1750213194.4259055,,,,,,480,,0
1750213194.4672253,,,,,,480,,0
1750213194.5082517,,,,,,480,,0
1750213194.5482905,,,,,,480,,0
1750213194.59188,,,,,,480,,0
1750213194.6314394,,,,,,480,,0
1750213194.6731796,,,,,,480,,0
1750213194.7136462,,,,,,480,,0
1750213194.754222,,,,,,480,,0
1750213194.7940295,,,,,,480,,0
1750213194.834989,,,,,,480,,0
1750213194.8756053,,,,,,480,,0
1750213194.91709,,,,,,480,,0
1750213194.9584875,,,,,,480,,0
1750213194.999194,,,,,,480,,0
1750213195.0390244,,,,,,480,,0
1750213195.0801232,,,,,,480,,0
1750213195.1200233,,,,,,480,,0
1750213195.162522,,,,,,480,,0
1750213195.2019682,,,,,,480,,0
1750213195.2433338,,,,,,480,,0
1750213195.2929368,,,,,,480,,0
1750213195.3341062,,,,,,480,,0
1750213195.3763468,,,,,,480,,0
1750213195.4173317,,,,,,480,,0
1750213195.4580033,,,,,,480,,0
1750213195.4975839,,,,,,480,,0
1750213195.5369222,,,,,,480,,0
1750213195.5766964,,,,,,480,,0
1750213195.6161115,,,,,,480,,0
1750213195.6552856,,,,,,480,,0
1750213195.6945746,,,,,,480,,0
1750213195.7382092,,,,,,480,,0
1750213195.7791052,,,,,,480,,0
1750213195.8289318,,,,,,480,,0
1750213195.8684494,,,,,,480,,0
1750213195.9082572,,,,,,480,,0
1750213195.9561152,,,,,,480,,0
1750213195.9960501,,,,,,480,,0
1750213196.0355122,,,,,,480,,0
1750213196.0748358,,,,,,480,,0
1750213196.1146038,,,,,,480,,0
1750213196.1554575,,,,,,480,,0
1750213196.1946406,,,,,,480,,0
1750213196.2337604,,,,,,480,,0
1750213196.2734454,,,,,,480,,0
1750213196.3151202,,,,,,480,,0
1750213196.3544424,,,,,,480,,0
1750213196.394225,,,,,,480,,0
1750213196.433369,,,,,,480,,0
1750213196.4738684,,,,,,480,,0
1750213196.5132046,,,,,,480,,0
1750213196.5530667,,,,,,480,,0
1750213196.5923543,,,,,,480,,0
1750213196.63367,,,,,,480,,0
1750213196.672675,,,,,,480,,0
1750213196.7121906,,,,,,480,,0
1750213196.751496,,,,,,480,,0
1750213196.7926595,,,,,,480,,0
1750213196.831687,,,,,,480,,0
1750213196.8712454,,,,,,480,,0
1750213196.9108365,,,,,,480,,0
1750213196.9522407,,,,,,480,,0
1750213196.9978232,,,,,,480,,0
1750213197.0415125,,,,,,480,,0
1750213197.0836668,,,,,,480,,0
1750213197.1282582,,,,,,480,,0
1750213197.1680071,,,,,,480,,0
1750213197.2074168,,,,,,480,,0
1750213197.247347,,,,,,480,,0
1750213197.2872474,,,,,,480,,0
1750213197.329151,,,,,,480,,0
1750213197.3705664,,,,,,480,,0
1750213197.409494,,,,,,480,,0
1750213197.4489973,,,,,,480,,0
1750213197.4882011,,,,,,480,,0
1750213197.5289464,,,,,,480,,0
1750213197.5686386,,,,,,480,,0
1750213197.608313,,,,,,480,,0
1750213197.6474416,,,,,,480,,0
1750213197.6887903,,,,,,480,,0
1750213197.7279608,,,,,,480,,0
1750213197.767156,,,,,,480,,0
1750213197.8076756,,,,,,480,,0
1750213197.8478668,,,,,,480,,0
1750213197.8869667,,,,,,480,,0
1750213197.9263818,,,,,,480,,0
1750213197.9662952,,,,,,480,,0
1750213198.00599,,,,,,480,,0
1750213198.0455277,,,,,,480,,0
1750213198.0853162,,,,,,480,,0
1750213198.124904,,,,,,480,,0
1750213198.1643853,,,,,,480,,0
1750213198.205038,,,,,,480,,0
1750213198.243905,,,,,,480,,0
1750213198.283486,,,,,,480,,0
1750213198.3232937,,,,,,480,,0
1750213256.7915063,,38.884496433714595,,,,480,,0
1750213256.8470793,,38.82319881739578,,,,480,,0
1750213256.9016323,,39.004613195924534,,,,480,,0
1750213256.9580345,,38.96231747857711,,,,480,,0
1750213257.0183458,,38.784364100297346,,,,480,,0
1750213257.071367,,38.659808254090095,,,,480,,0
1750213257.125254,,38.659808254090095,,,,480,,0
1750213257.177737,,39.15107835407104,,,,480,,0
1750213257.2303488,,39.26226532994359,,,,480,,0
1750213257.311296,,39.26226532994359,,,,480,,0
1750213257.416878,,39.31629366461553,,,,480,,0
1750213257.5146832,,39.36931724236474,,,,480,,0
1750213257.5675669,,39.18437347050876,,,,480,,0
1750213257.6204803,,39.07541801801751,,,,480,,0
1750213257.6740224,,39.559667968994496,,,,480,,0
1750213257.7272837,,39.559667968994496,,,,480,,0
1750213257.780884,,40.48601154199874,,,,480,,0
1750213257.8360226,,39.66076319626242,,,,480,,0
1750213257.8888566,,39.130399556985296,,,,480,,0
1750213257.9429715,,39.9497715751672,,,,480,,0
1750213257.9960673,,39.8055710922652,,,,480,,0
1750213258.0482607,,39.902600262021,,,,480,,0
1750213258.1017547,,39.20720350496784,,,,480,,0
1750213258.1546302,,39.42136374460662,,,,480,,0
1750213258.2094817,,39.07541801801751,,,,480,,0
1750213258.2615697,,39.40066066347943,,,,480,,0
1750213258.318181,,39.50767544287256,,,,480,,0
1750213258.3702254,,39.8055710922652,,,,480,,0
1750213299.0032368,,37.91006985584479,,,,480,,0
1750213299.0587084,,39.64417495714481,,,,480,,0
1750213299.1163309,,,1.460398117693174,8,0.016666666666666666,480,17.178322370321055,0
1750213299.1751764,,39.03551289874689,,,,480,,0
1750213299.2359664,,39.11401216697173,,,,480,,0
1750213299.2890925,,39.58813084768297,,,,480,,0
1750213299.3433273,,39.8055710922652,,,,480,,0
1750213299.3971202,,39.97592474146045,,,,480,,0
1750213299.4509132,,39.97592474146045,,,,480,,0
1750213299.506757,,,0.3145207904812537,5,0.010416666666666666,480,16.80570617072471,0
1750213299.5639083,,,4.739747633854385,2,0.004166666666666667,480,16.44881440154529,0
1750213299.6190076,,39.546081111408746,,,,480,,0
1750213299.6728055,,38.844831656726,,,,480,,0
1750213299.727008,,38.7256654429182,,,,480,,0
1750213299.7806458,,38.91530613473125,,,,480,,0
1750213299.834649,,38.91530613473125,,,,480,,0
1750213299.8876474,,38.91530613473125,,,,480,,0
1750213299.9398913,,39.22567409733672,,,,480,,0
1750213299.9929492,,38.79655209830817,,,,480,,0
1750213300.0465913,,38.790173852813744,,,,480,,0
1750213300.0998216,,38.790173852813744,,,,480,,0
1750213300.1561985,,39.434901165088355,,,,480,,0
1750213300.2092175,,39.11401216697173,,,,480,,0
1750213300.2654643,,38.97600691768038,,,,480,,0
1750213300.3193226,,38.29016319224307,,,,480,,0
1750213300.376805,,39.23211110208586,,,,480,,0
1750213300.4305904,,39.90788487550103,,,,480,,0
1750213300.4862993,,40.60129464500447,,,,480,,0
1750213300.5397348,,40.006256014176614,,,,480,,0
1750213300.5957022,,40.23635830927382,,,,480,,0
1750213300.6502223,,40.006256014176614,,,,480,,0
1750213300.7056234,,40.555893878347305,,,,480,,0
1750213300.7599108,,40.19204603696953,,,,480,,0
1750213300.816685,,39.65291839970064,,,,480,,0
1750213300.8699455,,39.65291839970064,,,,480,,0
1750213300.9269428,,40.426078740099136,,,,480,,0
1750213300.9805427,,40.68937417517947,,,,480,,0
1750213301.0358515,,40.23635830927382,,,,480,,0
1750213301.0891745,,41.06521794363056,,,,480,,0
1750213301.1446245,,41.600285840876744,,,,480,,0
1750213301.1992524,,41.44073317871679,,,,480,,0
1750213301.255844,,41.790513682208015,,,,480,,0
1750213301.3089378,,41.2623704565899,,,,480,,0
1750213301.364268,,41.335815679259284,,,,480,,0
1750213301.4176118,,42.436229788535,,,,480,,0
1750213301.474058,,43.24659513992846,,,,480,,0
1750213301.5290897,,43.6425341554694,,,,480,,0
1750213301.5856595,,43.6425341554694,,,,480,,0
1750213301.6401792,,43.063199613778956,,,,480,,0
1750213301.6950264,,42.56335175318987,,,,480,,0
1750213301.7472181,,43.111811993259074,,,,480,,0
1750213301.7989755,,43.069412558833015,,,,480,,0
1750213301.8479679,,43.72696997994329,,,,480,,0
1750213301.899041,,43.38190546726255,,,,480,,0
1750213301.948287,,42.62815781021078,,,,480,,0
1750213301.9989314,,44.00653114371742,,,,480,,0
1750213302.0489817,,43.80651057601796,,,,480,,0
